DP,DPNOM,Código Municipio,MPIO,AÑO,ÁREA GEOGRÁFICA,Pobl
13,Bolívar,13160,Cantagallo,2022,Total,"8,918"
13,Bolívar,13188,Cicuco,2022,Total,"14,668"
13,Bolívar,13212,Córdoba,2022,Total,"16,892"
13,Bolívar,13222,Clemencia,2022,Total,"15,848"
13,Bolívar,13244,El Carmen de Bolívar,2022,Total,"74,436"
13,Bolívar,13248,El Guamo,2022,Total,"9,212"
13,Bolívar,13268,El Peñón,2022,Total,"8,281"
13,Bolívar,13300,Hatillo de Loba,2022,Total,"13,345"
13,Bolívar,13430,Magangué,2022,Total,"143,710"
13,Bolívar,13433,Mahates,2022,Total,"30,105"
13,Bolívar,13440,Margarita,2022,Total,"11,392"
13,Bolívar,13442,María La Baja,2022,Total,"49,686"
13,Bolívar,13458,Montecristo,2022,Total,"18,054"
13,Bolívar,13468,Mompós,2022,Total,"47,585"
13,Bolívar,13473,Morales,2022,Total,"23,940"
13,Bolívar,13490,Norosí,2022,Total,"10,207"
13,Bolívar,13549,Pinillos,2022,Total,"25,333"
13,Bolívar,13580,Regidor,2022,Total,"7,412"
13,Bolívar,13600,Río Viejo,2022,Total,"11,008"
13,Bolívar,13620,San Cristóbal,2022,Total,"8,788"
13,Bolívar,13647,San Estanislao,2022,Total,"19,613"
13,Bolívar,13650,San Fernando,2022,Total,"13,355"
13,Bolívar,13654,San Jacinto,2022,Total,"25,175"
13,Bolívar,13655,San Jacinto del Cauca,2022,Total,"10,915"
13,Bolívar,13657,San Juan Nepomuceno,2022,Total,"39,506"
13,Bolívar,13667,San Martín de Loba,2022,Total,"15,275"
13,Bolívar,13670,San Pablo,2022,Total,"29,476"
13,Bolívar,13673,Santa Catalina,2022,Total,"15,327"
13,Bolívar,13683,Santa Rosa,2022,Total,"22,982"
13,Bolívar,13688,Santa Rosa del Sur,2022,Total,"35,452"
13,Bolívar,13744,Simití,2022,Total,"19,632"
13,Bolívar,13760,Soplaviento,2022,Total,"11,114"
13,Bolívar,13780,Talaigua Nuevo,2022,Total,"13,515"
13,Bolívar,13810,Tiquisio,2022,Total,"19,521"
13,Bolívar,13836,Turbaco,2022,Total,"116,340"
13,Bolívar,13838,Turbaná,2022,Total,"17,857"
13,Bolívar,13873,Villanueva,2022,Total,"25,876"
13,Bolívar,13894,Zambrano,2022,Total,"12,634"
15,Boyacá,15001,Tunja,2022,Total,"181,710"
15,Boyacá,15022,Almeida,2022,Total,"1,831"
15,Boyacá,15047,Aquitania,2022,Total,"15,755"
